   x        Cpi      Cpv        Qi        Qv
 0.4708   -0.545    -0.540    -1.242    -1.240
 0.4803   -0.531    -0.531    -1.236    -1.236
 0.4899   -0.517    -0.522    -1.230    -1.232
 0.4994   -0.503    -0.514    -1.225    -1.229
 0.5090   -0.489    -0.507    -1.219    -1.226
 0.5185   -0.474    -0.500    -1.213    -1.223
 0.5281   -0.460    -0.493    -1.207    -1.221
 0.5376   -0.445    -0.487    -1.201    -1.218
 0.5472   -0.431    -0.481    -1.195    -1.216
 0.5568   -0.417    -0.475    -1.189    -1.213
 0.5663   -0.403    -0.457    -1.183    -1.206
 0.5759   -0.389    -0.391    -1.178    -1.178
 0.5855   -0.375    -0.341    -1.172    -1.157
 0.5951   -0.361    -0.313    -1.166    -1.145
 0.6046   -0.348    -0.298    -1.160    -1.139
 0.6142   -0.333    -0.287    -1.154    -1.134
 0.6238   -0.319    -0.278    -1.148    -1.130
 0.6334   -0.305    -0.268    -1.142    -1.125
 0.6430   -0.291    -0.257    -1.136    -1.120
 0.6525   -0.277    -0.246    -1.129    -1.115
 0.6621   -0.263    -0.234    -1.123    -1.110
 0.6717   -0.248    -0.222    -1.117    -1.105
 0.6813   -0.234    -0.209    -1.110    -1.099
 0.6909   -0.220    -0.197    -1.104    -1.093
 0.7005   -0.205    -0.184    -1.097    -1.087
 0.7101   -0.190    -0.170    -1.091    -1.081
 0.7198   -0.176    -0.157    -1.084    -1.075
 0.7294   -0.161    -0.144    -1.077    -1.069
 0.7390   -0.147    -0.130    -1.071    -1.063
 0.7487   -0.133    -0.117    -1.064    -1.057
 0.7583   -0.120    -0.105    -1.058    -1.051
 0.7680   -0.107    -0.093    -1.052    -1.045
 0.7777   -0.095    -0.081    -1.046    -1.040
 0.7873   -0.083    -0.070    -1.040    -1.034
 0.7970   -0.071    -0.058    -1.035    -1.028
 0.8067   -0.060    -0.047    -1.029    -1.023
 0.8163   -0.048    -0.035    -1.024    -1.017
 0.8260   -0.037    -0.024    -1.018    -1.012
 0.8357   -0.025    -0.013    -1.012    -1.006
 0.8453   -0.013    -0.001    -1.007    -1.001
 0.8550   -0.002     0.011    -1.001    -0.995
 0.8647    0.010     0.023    -0.995    -0.989
