   x        Cpi      Cpv        Qi        Qv
 0.0300    0.759     0.967     0.493     0.188
 0.0336    0.833     0.988     0.412     0.120
 0.0375    0.891     0.999     0.334     0.056
 0.0419    0.935     1.002     0.259    -0.006
 0.0467    0.967     0.998     0.188    -0.065
 0.0520    0.988     0.988     0.121    -0.120
 0.0576    0.999     0.973     0.058    -0.172
 0.0637    1.003     0.954    -0.000    -0.221
 0.0701    1.000     0.932    -0.055    -0.266
 0.0768    0.992     0.907    -0.105    -0.308
 0.0838    0.980     0.882    -0.151    -0.347
 0.0910    0.965     0.856    -0.194    -0.383
 0.0984    0.948     0.829    -0.233    -0.416
 0.1058    0.930     0.803    -0.269    -0.447
 0.1134    0.911     0.777    -0.302    -0.475
 0.1210    0.892     0.751    -0.333    -0.501
 0.1288    0.872     0.726    -0.361    -0.526
 0.1365    0.852     0.702    -0.388    -0.548
 0.1444    0.832     0.678    -0.412    -0.569
 0.1522    0.813     0.656    -0.435    -0.589
 0.1601    0.794     0.633    -0.457    -0.607
 0.1681    0.774     0.612    -0.477    -0.625
 0.1760    0.756     0.590    -0.497    -0.642
 0.1840    0.737     0.570    -0.515    -0.658
 0.1920    0.719     0.550    -0.532    -0.673
 0.2000    0.701     0.530    -0.549    -0.687
 0.2080    0.684     0.511    -0.564    -0.701
 0.2160    0.667     0.493    -0.579    -0.714
 0.2241    0.650     0.475    -0.593    -0.726
 0.2321    0.634     0.457    -0.607    -0.738
 0.2402    0.618     0.440    -0.620    -0.749
 0.2483    0.603     0.424    -0.632    -0.760
 0.2564    0.587     0.407    -0.644    -0.771
 0.2645    0.572     0.391    -0.655    -0.781
 0.2726    0.558     0.375    -0.667    -0.791
 0.2807    0.543     0.360    -0.677    -0.801
 0.2888    0.529     0.345    -0.688    -0.810
 0.2969    0.515     0.330    -0.698    -0.819
 0.3050    0.501     0.315    -0.708    -0.828
 0.3131    0.487     0.301    -0.717    -0.837
 0.3213    0.474     0.286    -0.726    -0.846
 0.3294    0.461     0.272    -0.735    -0.854
 0.3375    0.448     0.258    -0.744    -0.862
 0.3456    0.435     0.244    -0.753    -0.870
 0.3537    0.422     0.231    -0.761    -0.878
 0.3618    0.410     0.218    -0.769    -0.885
 0.3698    0.398     0.205    -0.777    -0.892
 0.3779    0.386     0.192    -0.784    -0.899
 0.3860    0.375     0.180    -0.792    -0.906
 0.3940    0.364     0.169    -0.798    -0.912
 0.4021    0.355     0.159    -0.804    -0.918
 0.4101    0.346     0.150    -0.809    -0.922
 0.4182    0.339     0.142    -0.814    -0.927
 0.4262    0.332     0.135    -0.818    -0.930
 0.4343    0.326     0.128    -0.822    -0.934
 0.4424    0.320     0.123    -0.826    -0.937
 0.4505    0.314     0.117    -0.829    -0.940
 0.4586    0.309     0.112    -0.832    -0.943
 0.4667    0.304     0.107    -0.835    -0.945
 0.4749    0.299     0.103    -0.838    -0.948
 0.4830    0.295     0.098    -0.840    -0.950
 0.4911    0.291     0.094    -0.843    -0.952
 0.4993    0.287     0.091    -0.845    -0.954
 0.5074    0.283     0.087    -0.847    -0.956
 0.5156    0.280     0.084    -0.849    -0.957
 0.5237    0.277     0.081    -0.851    -0.959
 0.5319    0.275     0.079    -0.852    -0.960
 0.5401    0.272     0.076    -0.854    -0.961
 0.5482    0.269     0.074    -0.855    -0.963
 0.5564    0.267     0.071    -0.857    -0.964
 0.5646    0.265     0.069    -0.858    -0.965
 0.5728    0.263     0.067    -0.859    -0.966
 0.5810    0.261     0.065    -0.860    -0.967
 0.5892    0.259     0.063    -0.861    -0.968
 0.5973    0.258     0.062    -0.862    -0.969
 0.6055    0.257     0.060    -0.863    -0.970
 0.6137    0.256     0.059    -0.863    -0.970
 0.6219    0.255     0.058    -0.864    -0.971
 0.6301    0.254     0.057    -0.864    -0.971
 0.6383    0.254     0.056    -0.864    -0.972
 0.6465    0.254     0.055    -0.865    -0.972
 0.6547    0.253     0.055    -0.865    -0.972
 0.6629    0.254     0.054    -0.865    -0.973
 0.6712    0.254     0.054    -0.865    -0.973
 0.6794    0.254     0.054    -0.864    -0.973
 0.6876    0.255     0.053    -0.864    -0.973
 0.6958    0.255     0.053    -0.864    -0.973
 0.7041    0.256     0.054    -0.863    -0.973
 0.7123    0.257     0.054    -0.862    -0.973
 0.7206    0.258     0.054    -0.862    -0.973
 0.7288    0.260     0.054    -0.861    -0.973
 0.7371    0.261     0.054    -0.860    -0.973
 0.7454    0.262     0.054    -0.859    -0.973
 0.7537    0.263     0.054    -0.859    -0.973
 0.7620    0.264     0.054    -0.858    -0.973
 0.7702    0.265     0.053    -0.858    -0.973
 0.7785    0.265     0.052    -0.858    -0.974
 0.7868    0.266     0.051    -0.857    -0.974
 0.7951    0.267     0.049    -0.857    -0.975
