   x        Cpi      Cpv        Qi        Qv
 0.1681    0.875     0.658    -0.357    -0.586
 0.1760    0.859     0.637    -0.379    -0.604
 0.1840    0.842     0.616    -0.400    -0.621
 0.1920    0.826     0.596    -0.420    -0.637
 0.2000    0.810     0.576    -0.439    -0.653
 0.2080    0.794     0.557    -0.456    -0.667
 0.2160    0.778     0.538    -0.473    -0.681
 0.2241    0.763     0.519    -0.490    -0.695
 0.2321    0.747     0.501    -0.505    -0.708
 0.2402    0.732     0.483    -0.520    -0.720
 0.2483    0.717     0.466    -0.534    -0.732
 0.2564    0.702     0.449    -0.548    -0.743
 0.2645    0.688     0.432    -0.561    -0.755
 0.2726    0.673     0.416    -0.574    -0.765
 0.2807    0.659     0.400    -0.586    -0.776
 0.2888    0.645     0.384    -0.598    -0.786
 0.2969    0.631     0.368    -0.609    -0.796
 0.3050    0.617     0.352    -0.620    -0.806
 0.3131    0.604     0.337    -0.631    -0.815
 0.3213    0.590     0.321    -0.642    -0.825
 0.3294    0.577     0.306    -0.652    -0.834
 0.3375    0.564     0.291    -0.662    -0.842
 0.3456    0.551     0.277    -0.672    -0.851
 0.3537    0.538     0.262    -0.681    -0.860
 0.3618    0.525     0.248    -0.691    -0.868
 0.3698    0.513     0.234    -0.699    -0.876
 0.3779    0.501     0.220    -0.708    -0.883
 0.3860    0.489     0.207    -0.716    -0.891
 0.3940    0.478     0.195    -0.724    -0.898
 0.4021    0.468     0.184    -0.731    -0.904
 0.4101    0.458     0.174    -0.737    -0.910
 0.4182    0.449     0.164    -0.743    -0.915
 0.4262    0.442     0.156    -0.748    -0.919
 0.4343    0.434     0.148    -0.753    -0.923
 0.4424    0.427     0.141    -0.758    -0.927
 0.4505    0.420     0.135    -0.763    -0.931
 0.4586    0.414     0.128    -0.767    -0.934
 0.4667    0.407     0.122    -0.771    -0.937
 0.4749    0.402     0.116    -0.775    -0.940
 0.4830    0.396     0.111    -0.778    -0.943
 0.4911    0.391     0.105    -0.782    -0.946
 0.4993    0.386     0.101    -0.785    -0.949
 0.5074    0.381     0.096    -0.788    -0.951
 0.5156    0.376     0.091    -0.791    -0.953
 0.5237    0.372     0.087    -0.793    -0.956
 0.5319    0.368     0.083    -0.796    -0.958
 0.5401    0.364     0.079    -0.798    -0.960
 0.5482    0.360     0.076    -0.801    -0.962
 0.5564    0.357     0.072    -0.803    -0.964
 0.5646    0.353     0.069    -0.805    -0.965
 0.5728    0.350     0.065    -0.807    -0.967
 0.5810    0.347     0.062    -0.809    -0.969
 0.5892    0.344     0.059    -0.811    -0.970
 0.5973    0.341     0.056    -0.813    -0.972
 0.6055    0.339     0.053    -0.814    -0.973
 0.6137    0.336     0.051    -0.815    -0.975
 0.6219    0.334     0.048    -0.817    -0.976
 0.6301    0.332     0.046    -0.818    -0.977
 0.6383    0.331     0.044    -0.819    -0.978
 0.6465    0.329     0.042    -0.820    -0.979
 0.6547    0.328     0.040    -0.821    -0.980
 0.6629    0.327     0.038    -0.821    -0.981
 0.6712    0.325     0.037    -0.822    -0.982
 0.6794    0.325     0.035    -0.823    -0.982
 0.6876    0.324     0.034    -0.823    -0.983
 0.6958    0.323     0.032    -0.823    -0.984
 0.7041    0.323     0.031    -0.824    -0.984
 0.7123    0.323     0.030    -0.824    -0.985
 0.7206    0.323     0.029    -0.824    -0.985
 0.7288    0.323     0.028    -0.824    -0.986
 0.7371    0.323     0.027    -0.824    -0.987
 0.7454    0.323     0.025    -0.824    -0.987
 0.7537    0.323     0.024    -0.824    -0.988
 0.7620    0.323     0.022    -0.824    -0.989
 0.7702    0.322     0.020    -0.824    -0.990
 0.7785    0.322     0.017    -0.824    -0.991
 0.7868    0.321     0.015    -0.825    -0.993
 0.7951    0.321     0.012    -0.825    -0.994
 0.8034    0.320     0.008    -0.825    -0.996
 0.8117    0.319     0.005    -0.826    -0.998
 0.8200    0.319     0.001    -0.826    -0.999
 0.8284    0.318    -0.003    -0.827    -1.001
 0.8367    0.318    -0.007    -0.827    -1.003
 0.8450    0.317    -0.011    -0.827    -1.006
 0.8533    0.317    -0.016    -0.827    -1.008
 0.8616    0.317    -0.021    -0.827    -1.010
 0.8699    0.316    -0.026    -0.828    -1.013
 0.8782    0.316    -0.031    -0.828    -1.016
 0.8865    0.317    -0.037    -0.827    -1.018
 0.8947    0.317    -0.043    -0.827    -1.021
 0.9030    0.318    -0.050    -0.827    -1.025
 0.9113    0.319    -0.057    -0.826    -1.028
 0.9196    0.320    -0.064    -0.825    -1.031
 0.9278    0.322    -0.072    -0.824    -1.035
 0.9360    0.324    -0.081    -0.823    -1.039
 0.9442    0.327    -0.090    -0.821    -1.044
 0.9523    0.331    -0.100    -0.819    -1.049
 0.9602    0.336    -0.112    -0.816    -1.054
 0.9680    0.343    -0.124    -0.811    -1.060
 0.9756    0.353    -0.138    -0.806    -1.066
 0.9828    0.366    -0.153    -0.797    -1.074
 0.9897    0.387    -0.172    -0.784    -1.082
 0.9961    0.421    -0.191    -0.762    -1.091
 1.0000    0.567    -0.222    -0.660    -1.105


